"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS3_48","PUBLISHED","2010","AFR","CIV","62726","","","",""
"WHS3_48","PUBLISHED","2011","AFR","CIV","29976","","","",""
"WHS3_48","PUBLISHED","2006","SEAR","PRK","12983","","","",""
"WHS3_48","PUBLISHED","2007","SEAR","PRK","4345","","","",""
"WHS3_48","PUBLISHED","2008","SEAR","PRK","16611","","","",""
"WHS3_48","PUBLISHED","2009","SEAR","PRK","14632","","","",""
"WHS3_48","PUBLISHED","2010","SEAR","PRK","13393","","","",""
"WHS3_48","PUBLISHED","2011","SEAR","PRK","15633","","","",""
"WHS3_48","PUBLISHED","2006","AFR","COD","2050","","","",""
"WHS3_48","PUBLISHED","2007","AFR","COD","740858","","","",""
"WHS3_48","PUBLISHED","2008","AFR","COD","1618218","","","",""
"WHS3_48","PUBLISHED","2009","AFR","COD","1878705","","","",""
"WHS3_48","PUBLISHED","2010","AFR","COD","2417780","","","",""
"WHS3_48","PUBLISHED","2011","AFR","COD","4561981","","","",""
"WHS3_48","PUBLISHED","2006","EMR","DJI","1796","","","",""
"WHS3_48","PUBLISHED","2007","EMR","DJI","210","","","",""
"WHS3_48","PUBLISHED","2008","EMR","DJI","119","","","",""
"WHS3_48","PUBLISHED","2009","EMR","DJI","2686","","","",""
"WHS3_48","PUBLISHED","2010","EMR","DJI","1019","","","",""
"WHS3_48","PUBLISHED","2006","AMR","DOM","2494","","","",""
"WHS3_48","PUBLISHED","2007","AMR","DOM","2193","","","",""
"WHS3_48","PUBLISHED","2008","AMR","DOM","1668","","","",""
"WHS3_48","PUBLISHED","2009","AMR","DOM","1643","","","",""
"WHS3_48","PUBLISHED","2010","AMR","DOM","3414","","","",""
"WHS3_48","PUBLISHED","2011","AMR","DOM","1616","","","",""
"WHS3_48","PUBLISHED","2006","AMR","ECU","9863","","","",""
"WHS3_48","PUBLISHED","2007","AMR","ECU","8464","","","",""
"WHS3_48","PUBLISHED","2008","AMR","ECU","4891","","","",""
"WHS3_48","PUBLISHED","2009","AMR","ECU","4120","","","",""
"WHS3_48","PUBLISHED","2010","AMR","ECU","1888","","","",""
"WHS3_48","PUBLISHED","2011","AMR","ECU","1233","","","",""
"WHS3_48","PUBLISHED","2006","EMR","EGY","0","","","",""
"WHS3_48","PUBLISHED","2007","EMR","EGY","0","","","",""
"WHS3_48","PUBLISHED","2008","EMR","EGY","0","","","",""
"WHS3_48","PUBLISHED","2009","EMR","EGY","0","","","",""
"WHS3_48","PUBLISHED","2010","EMR","EGY","0","","","",""
"WHS3_48","PUBLISHED","2011","EMR","EGY","0","","","",""
"WHS3_48","PUBLISHED","2006","AMR","SLV","49","","","",""
"WHS3_48","PUBLISHED","2007","AMR","SLV","40","","","",""
"WHS3_48","PUBLISHED","2008","AMR","SLV","21","","","",""
"WHS3_48","PUBLISHED","2009","AMR","SLV","10","","","",""
"WHS3_48","PUBLISHED","2010","AMR","SLV","24","","","",""
"WHS3_48","PUBLISHED","2011","AMR","SLV","16","","","",""
"WHS3_48","PUBLISHED","2007","AFR","GNQ","6287","","","",""
"WHS3_48","PUBLISHED","2008","AFR","GNQ","9503","","","",""
